,Tag3 ,Tag4,Tag5,Tag6,Tag7,Tag8
234,0,0,0,0,0,0
235,0,0,0,0,0,0
236,0,0,0,0,0,0
237,0,0,0,0,0,1
238,0,0,0,0,0,1
239,0,0,0,0,0,1
240,0,0,0,0,0,1
241,0,0,0,0,0,0
242,0,0,1,0,0,0
243,0,0,0,0,1,1
244,0,0,0,0,0,0
245,0,0,0,0,0,1
246,0,0,0,0,0,1
247,0,0,0,0,1,1
248,0,0,0,0,1,1
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,0,0,0,0,1
252,0,0,0,0,0,0
253,0,0,0,0,0,1
254,0,0,0,0,0,1
255,0,0,0,0,0,1
256,0,0,0,0,0,0
257,0,0,0,0,0,0
258,0,0,0,0,0,1
259,0,0,0,0,0,1
260,0,0,0,0,0,1
261,0,0,0,0,0,0
262,0,0,0,0,0,1
263,0,0,0,0,0,1
264,0,0,0,0,0,1
265,0,0,0,0,0,1
266,0,0,0,0,0,1
267,0,0,0,0,0,1
268,0,0,0,0,0,1
269,0,0,0,0,0,1
270,0,0,0,0,0,1
271,0,0,0,0,0,0
272,0,0,0,0,0,0
273,0,0,0,0,0,1
274,0,0,0,0,1,1
275,0,0,0,0,0,1
276,0,0,0,0,0,1
277,0,0,0,0,0,1
278,0,0,0,0,0,1
279,0,0,0,0,0,1
280,0,0,0,0,0,1
281,0,0,0,0,0,0
282,0,0,0,0,0,1
283,0,0,0,0,0,1
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,1,1
287,0,0,0,0,1,0
288,0,0,0,0,0,1
289,0,0,0,0,0,1
290,0,0,0,0,0,0
291,0,0,0,0,0,1
292,0,0,0,0,0,1
293,0,0,0,0,0,1
294,0,0,0,0,0,1
295,0,0,0,0,0,1
296,0,0,0,0,0,1
297,0,0,0,0,0,0
298,0,0,0,0,0,1
299,0,0,0,0,0,0
300,0,0,0,0,0,1
301,0,0,0,0,0,1
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,0,0,0,0,0,1
305,0,0,0,0,0,1
306,0,0,0,0,0,0
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,0,0,0,0,0,0
311,0,0,0,0,0,0
312,0,0,0,0,0,0
313,0,0,0,0,0,0
314,0,0,0,0,0,0
315,0,0,0,0,0,0
316,0,0,0,0,0,1
317,0,0,0,0,0,0
318,0,0,0,0,0,1
319,0,0,0,0,0,0
320,0,0,0,0,0,0
321,0,0,0,0,0,1
322,0,0,0,0,0,0
323,0,0,0,0,0,0
324,0,0,0,0,0,1
325,0,0,0,0,0,1
326,0,0,0,0,0,0
327,0,0,0,0,0,0
328,0,0,0,0,0,1
329,0,0,0,0,0,1
330,0,0,0,0,0,0
331,0,0,0,0,0,1
332,0,0,0,0,0,0
333,0,0,0,0,0,1
334,0,0,0,0,0,1
